100,J37,68,1,2023-06-17T12:19:03.934-03:00,1047,14
100,O21,12,1,2023-06-17T12:19:03.938-03:00,1047,14
100,I43,970,3,2023-06-17T12:19:03.936-03:00,1047,14
100,V80,81,0,2023-06-17T12:19:03.931-03:00,1047,14
100,N89,959,3,2023-06-17T12:19:03.935-03:00,1047,14
100,D16,100,0,2023-06-17T12:19:03.937-03:00,1047,14
100,K36,1014,3,2023-06-17T12:19:03.963-03:00,1047,14
100,S66,1043,3,2023-06-17T12:19:03.968-03:00,1047,14
100,X47,906,2,2023-06-17T12:19:03.950-03:00,1047,14
100,I43,964,2,2023-06-17T12:19:06.154-03:00,1047,14
100,V80,85,0,2023-06-17T12:19:06.149-03:00,1047,14
100,D16,109,0,2023-06-17T12:19:06.157-03:00,1047,14
100,K36,1007,2,2023-06-17T12:19:06.158-03:00,1047,14
100,J37,68,1,2023-06-17T12:19:06.154-03:00,1047,14
100,S66,1039,3,2023-06-17T12:19:06.158-03:00,1047,14
100,U56,92,1,2023-06-17T12:19:06.152-03:00,1047,14
100,X47,902,2,2023-06-17T12:19:06.156-03:00,1047,14
100,Z35,1017,2,2023-06-17T12:19:06.157-03:00,1047,14
100,N89,955,3,2023-06-17T12:19:06.153-03:00,1047,14
100,X47,898,2,2023-06-17T12:19:08.935-03:00,1047,14
100,I43,955,2,2023-06-17T12:19:08.934-03:00,1047,14
100,N89,951,3,2023-06-17T12:19:08.933-03:00,1047,14
100,D16,119,0,2023-06-17T12:19:08.934-03:00,1047,14
100,U56,96,1,2023-06-17T12:19:08.933-03:00,1047,14
100,V80,89,0,2023-06-17T12:19:08.932-03:00,1047,14
100,K36,1002,2,2023-06-17T12:19:08.936-03:00,1047,14
100,S66,1033,3,2023-06-17T12:19:08.937-03:00,1047,14
100,U56,103,1,2023-06-17T12:19:10.363-03:00,1047,14
100,V80,93,0,2023-06-17T12:19:10.361-03:00,1047,14
100,P82,8,1,2023-06-17T12:19:10.370-03:00,1047,14
100,S66,1033,3,2023-06-17T12:19:10.374-03:00,1047,14
100,N89,947,3,2023-06-17T12:19:10.370-03:00,1047,14
100,I43,948,2,2023-06-17T12:19:10.371-03:00,1047,14
100,K36,994,2,2023-06-17T12:19:10.373-03:00,1047,14
100,D16,127,0,2023-06-17T12:19:10.368-03:00,1047,14
100,X47,894,2,2023-06-17T12:19:10.372-03:00,1047,14
100,X47,890,2,2023-06-17T12:19:12.445-03:00,1047,14
